year,total_ratings,previous_total_ratings,avg_rating,previous_avg_rating,percentage,previous_percentage,rating_change,avg_rating_change,percentage_change
1996,79862,NULL,3.57,NULL,7.99,NULL,NULL,NULL,NULL
1997,35108,79862,3.57,3.57,3.51,7.99,-44754,0.0,-56.04
1998,18655,35108,3.47,3.57,1.87,3.51,-16453,-0.1,-46.86
1999,62285,18655,3.62,3.47,6.23,1.87,43630,0.15,233.88
2000,98022,62285,3.57,3.62,9.8,6.23,35737,-0.04,57.38
2001,65201,98022,3.49,3.57,6.52,9.8,-32821,-0.08,-33.48
2002,39766,65201,3.57,3.49,3.98,6.52,-25435,0.08,-39.01
2003,52917,39766,3.47,3.57,5.29,3.98,13151,-0.1,33.07
2004,56582,52917,3.46,3.47,5.66,5.29,3665,-0.01,6.93
2005,93693,56582,3.43,3.46,9.37,5.66,37111,-0.03,65.59
2006,65834,93693,3.49,3.43,6.58,9.37,-27859,0.06,-29.73
2007,51395,65834,3.41,3.49,5.14,6.58,-14439,-0.07,-21.93
2008,57659,51395,3.54,3.41,5.77,5.14,6264,0.12,12.19
2009,42353,57659,3.5,3.54,4.24,5.77,-15306,-0.04,-26.55
2010,50093,42353,3.59,3.5,5.01,4.24,7740,0.09,18.27
2011,34217,50093,3.57,3.59,3.42,5.01,-15876,-0.01,-31.69
2012,31802,34217,3.6,3.57,3.18,3.42,-2415,0.03,-7.06
2013,26948,31802,3.74,3.6,2.69,3.18,-4854,0.13,-15.26
2014,25082,26948,3.6,3.74,2.51,2.69,-1866,-0.14,-6.92
2015,12526,25082,3.36,3.6,1.25,2.51,-12556,-0.24,-50.06
