genre,rated_movies,unique_users,total_ratings,avg_rating,total_high_ratings,high_rating_pct
Film-Noir,155,2862,10746,3.96,7439,69.23
War,634,6053,51865,3.82,32400,62.47
Documentary,798,2542,12082,3.75,7427,61.47
Crime,1649,6665,163482,3.68,92054,56.31
Drama,6877,6743,439864,3.68,247219,56.2
Mystery,814,6291,78231,3.66,43747,55.92
IMAX,174,4479,24374,3.65,13055,53.56
Animation,569,5796,56426,3.61,29811,52.83
Western,330,4731,21436,3.57,11183,52.17
Musical,565,5560,43776,3.55,22341,51.03
Romance,2259,6712,192261,3.54,97393,50.66
Thriller,2534,6723,265265,3.51,129842,48.95
Fantasy,865,6483,105820,3.51,51654,48.81
Adventure,1439,6719,219697,3.51,106989,48.7
Action,2073,6719,279803,3.45,129790,46.39
Sci-Fi,1096,6628,158175,3.43,73131,46.23
Comedy,4775,6740,378376,3.43,174490,46.12
Children,729,6205,83348,3.4,37493,44.98
Horror,1444,5937,73831,3.26,30049,40.7
