genre,total_ratings,total_ratings_rank,unique_users,unique_users_rank,rated_movies,rated_movies_rank,ratings_per_movie,ratings_per_movie_rank,ranking_spread
Drama,439864,1,6743,1,6877,1,63.96,17,16
Comedy,378376,2,6740,2,4775,2,79.24,13,11
Action,279803,3,6719,4,2073,5,134.97,4,2
Thriller,265265,4,6723,3,2534,3,104.68,7,4
Adventure,219697,5,6719,4,1439,8,152.67,1,7
Romance,192261,6,6712,5,2259,4,85.11,11,7
Crime,163482,7,6665,6,1649,6,99.14,9,3
Sci-Fi,158175,8,6628,7,1096,9,144.32,2,7
Fantasy,105820,9,6483,8,865,10,122.34,5,5
Children,83348,10,6205,10,729,13,114.33,6,7
Mystery,78231,11,6291,9,814,11,96.11,10,2
Horror,73831,12,5937,12,1444,7,51.13,18,11
Animation,56426,13,5796,13,569,15,99.17,8,7
War,51865,14,6053,11,634,14,81.81,12,3
Musical,43776,15,5560,14,565,16,77.48,14,2
IMAX,24374,16,4479,16,174,18,140.08,3,15
Western,21436,17,4731,15,330,17,64.96,16,2
Documentary,12082,18,2542,18,798,12,15.14,19,7
Film-Noir,10746,19,2862,17,155,19,69.33,15,4
