movieId,genre,title,rating_count,avg_rating,row_number_position,rank_position,dense_rank_position
6016,Action,City of God (Cidade de Deus) (2002),611,4.2643,1,1,1
908,Action,North by Northwest (1959),786,4.2532,2,2,2
58559,Action,"Dark Knight, The (2008)",983,4.2482,3,3,3
2959,Action,Fight Club (1999),1974,4.2201,4,4,4
2019,Action,Seven Samurai (Shichinin no samurai) (1954),564,4.2145,5,5,5
6016,Adventure,City of God (Cidade de Deus) (2002),611,4.2643,1,1,1
908,Adventure,North by Northwest (1959),786,4.2532,2,2,2
5618,Adventure,Spirited Away (Sen to Chihiro no kamikakushi) (2001),671,4.2332,3,3,3
2019,Adventure,Seven Samurai (Shichinin no samurai) (1954),564,4.2145,4,4,4
1198,Adventure,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),2181,4.1972,5,5,5
5618,Animation,Spirited Away (Sen to Chihiro no kamikakushi) (2001),671,4.2332,1,1,1
745,Animation,Wallace & Gromit: A Close Shave (1995),599,4.1694,2,2,2
3000,Animation,Princess Mononoke (Mononoke-hime) (1997),438,4.1404,3,3,3
1148,Animation,Wallace & Gromit: The Wrong Trousers (1993),769,4.1326,4,4,4
60069,Animation,WALL·E (2008),623,4.0682,5,5,5
745,Children,Wallace & Gromit: A Close Shave (1995),599,4.1694,1,1,1
1148,Children,Wallace & Gromit: The Wrong Trousers (1993),769,4.1326,2,2,2
60069,Children,WALL·E (2008),623,4.0682,3,3,3
2804,Children,"Christmas Story, A (1983)",651,4.0361,4,4,4
68954,Children,Up (2009),475,4.0179,5,5,5
750,Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1195,4.2268,1,1,1
4973,Comedy,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",1190,4.2168,2,2,2
1234,Comedy,"Sting, The (1973)",759,4.195,3,3,3
1136,Comedy,Monty Python and the Holy Grail (1975),1638,4.1795,4,4,4
1197,Comedy,"Princess Bride, The (1987)",1634,4.1781,5,5,5
318,Crime,"Shawshank Redemption, The (1994)",3061,4.4699,1,1,1
858,Crime,"Godfather, The (1972)",2026,4.3882,2,2,2
50,Crime,"Usual Suspects, The (1995)",2357,4.3717,3,3,3
1221,Crime,"Godfather: Part II, The (1974)",1347,4.2795,4,4,4
