movieId,title,genres,rating_count,popularity_percent_rank,avg_rating,quality_percent_rank,balanced_score,quality_focused_score,popularity_focused_score,balanced_position,quality_focused_position,popularity_focused_position,rank_spread
318,"Shawshank Redemption, The (1994)",Crime|Drama,3061,0.9991,4.4699,1.0,0.9995,0.9997,0.9993,1,1,1,0
527,Schindler's List (1993),Drama|War,2475,0.9972,4.2941,0.9981,0.9976,0.9978,0.9975,2,3,2,1
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,2357,0.9956,4.3717,0.9991,0.9973,0.998,0.9966,3,2,3,1
858,"Godfather, The (1972)",Crime|Drama,2026,0.9912,4.3882,0.9997,0.9954,0.9971,0.9938,4,4,6,2
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,2729,0.9984,4.1867,0.9852,0.9918,0.9892,0.9945,5,8,5,3
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,3080,0.9994,4.1797,0.9837,0.9915,0.9884,0.9947,6,10,4,6
2959,Fight Club (1999),Action|Crime|Drama|Thriller,1974,0.9909,4.2201,0.9918,0.9914,0.9916,0.9912,7,5,10,5
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,2181,0.9937,4.1972,0.9884,0.9911,0.99,0.9921,8,7,9,2
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,2567,0.9975,4.1776,0.9827,0.9901,0.9872,0.9931,9,11,7,4
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,3320,1.0,4.1494,0.9765,0.9882,0.9835,0.9929,10,17,8,9
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,2296,0.995,4.1592,0.9802,0.9876,0.9847,0.9906,11,13,11,2
1193,One Flew Over the Cuckoo's Nest (1975),Drama,1447,0.9787,4.2284,0.9937,0.9862,0.9892,0.9832,12,8,16,8
1221,"Godfather: Part II, The (1974)",Crime|Drama,1347,0.9746,4.2795,0.9978,0.9862,0.9908,0.9815,13,6,19,13
2858,American Beauty (1999),Comedy|Drama,2234,0.9944,4.1497,0.9771,0.9857,0.9823,0.9892,14,19,12,7
